Title,Movie_Cast,Director,Genre,Year
fateh,Sonu SoodNaseeruddin ShahJacqueline Fernandez,Sonu Sood,"action, thriller",2025
match fixing,Vineet Kumar SinghRaj ArjunShataf FigarAnuja Sathe,Kedar Gaekwad,"thriller, political",2025
emergency,Kangana RanautAnupam KherShreyas TalpadeMahima ChaudhryMilind SomanSatish Kaushik,Kangana Ranaut,"drama, biographical, historical",2025
azaad,Ajay DevgnDiana PentyAaman DevganRasha ThadaniMohit MalikPiyush Mishra,Abhishek Kapoor,"action, drama",2025
mission grey house,Abeer KhanPuja SharmaRajesh SharmaKiran KumarNikhat KhanKamlesh SawantRaza Murad,Naushad Siddiqui,thriller,2025
hisaab barabar,R. MadhavanNeil Nitin MukeshKirti KulhariRashami Desai,Ashwni Dhir,thriller,2025
sky force,Akshay KumarVeer PahariyaSara Ali KhanNimrat Kaur,Sandeep KewlaniAbhishek Anil Kapur,"action, drama, war",2025
sky force,Akshay KumarVeer PahariyaSara Ali KhanNimrat Kaur,Sandeep KewlaniAbhishek Anil Kapur,"action, drama, war",2025
sweet dreams,Amol ParasharMithila Palkar,Victor Mukherjee,"drama, romantic",2025
the storyteller,Paresh RawalAdil HussainRevathiTannishtha Chatterjee,Anant Mahadevan,drama,2025
deva,Shahid KapoorPooja Hegde,Rosshan Andrrews,"action, thriller",2025
deva,Shahid KapoorPooja Hegde,Rosshan Andrrews,"action, thriller",2025
loveyapa,Junaid KhanKhushi Kapoor,Advait Chandan,"comedy, romantic",2025
badass ravi kumar,Himesh ReshammiyaPrabhu DevaKirti KulhariSonia KapoorRajesh SharmaJohny LeverNavneet NishanManish WadhwaSanjay MishraAnil George,Keith Gomes,"action, musical",2025
mrs.,Sanya MalhotraNishant DahiyaKanwaljit Singh,Aarti Kadav,drama,2025
the mehta boys,Boman IraniAvinash Tiwary,Boman Irani,drama,2025
bobby aur rishi ki love story,Vardhan PuriKaveri Kapur,Kunal Kohli,"comedy, romantic",2025
chhaava,Vicky KaushalRashmika MandannaAkshaye Khanna,Laxman Utekar,"action, historical",2025
chhaava,Vicky KaushalRashmika MandannaAkshaye Khanna,Laxman Utekar,"action, historical",2025
dhoom dhaam,Pratik GandhiYami Gautam,Rishab Seth,"action, comedy, romantic",2025
mere husband ki biwi,Arjun KapoorRakul Preet SinghBhumi Pednekar,Mudassar Aziz,"comedy, romantic",2025
kaushaljis vs kaushal,Ashutosh RanaSheeba ChadhaIsha TalwarPavail Gulati,Seemaa Desai,"drama, family",2025
shaila,Rohit ChaudharySara KhanSonam AroraAadhvikaaDurvesh RameshwaramHussain KhanKetan Raj Sharma,Saki Shah,"drama, romantic",2025
crazxy,Sohum Shah,Girish Kohli,thriller,2025
superboys of malegaon,Adarsh GouravVineet Kumar SinghShashank AroraAnuj Singh Duhan,Reema Kagti,drama,2025
dil dosti aur dogs,Neena GuptaMasumeh MakhijaSharad KelkarKunaal Roy KapurKeerti Gaekwad KelkarTinu AnandEhan BhatTridha Choudhury,Viral Shah,Unknown,2025
nadaaniyan,Ibrahim Ali KhanKhushi KapoorMahima ChaudhrySuniel ShettyDia MirzaJugal Hansraj,Shauna Gautam,"comedy, romantic",2025
the diplomat,John AbrahamSadia KhateebRevathyKumud Mishra,Shivam Nair,"thriller, political",2025
the diplomat,John AbrahamSadia KhateebRevathyKumud Mishra,Shivam Nair,"thriller, political",2025
my melbourne,Ryanna SkyeKat StewartJake RyanArushi SharmaJackson GallagherArka Das,Kabir KhanRima DasOnirImtiaz Ali,anthology,2025
be happy,Abhishek BachchanNora FatehiNassarInayat VermaJohnny LeverHarleen Sethi,Remo D'Souza,"drama, dance",2025
inn galiyon mein,Vivaan ShahAvantika DassaniJaved Jaffrey,Avinash Das,"action, drama, comedy, thriller, romantic, crime",2025
aachari baa,Neena GuptaVatsal ShethApoorva AroraKabir Bedi,Hardik Gajjar,"drama, family",2025
baida,Sudhanshu RaiManisha RaiShobhit Sujay,Puneet Sharma,"thriller, sci-fi",2025
tumko meri kasam,Anupam KherIshwak SinghAdah SharmaEsha Deol,Vikram Bhatt,drama,2025
pintu ki pappi,ShushantJaanyaa JoshiVidhiiGanesh AcharyaMurali SharmaVijay Raaz,Shiv Hare,"comedy, romantic",2025
sikandar,Salman KhanKajal AggarwalRashmika MandannaSathyarajPrateik Babbar,AR Murugadoss,"action, drama",2025
sikandar,Salman KhanKajal AggarwalRashmika MandannaSathyarajPrateik Babbar,AR Murugadoss,"action, drama",2025
jaat,Sunny DeolRandeep HoodaSaiyami Kher,Gopichand Malineni,"action, thriller",2025
jaat,Sunny DeolRandeep HoodaSaiyami Kher,Gopichand Malineni,"action, thriller",2025
chhorii 2,Nushrratt BharucchaSoha Ali KhanGashmeer MahajaniSaurabh GoyalPallavi AjayKuldeep SareenHardika Sharma,Vishal Furia,horror,2025
kesari chapter 2,Akshay KumarR. MadhavanAnanya Panday,Karan Singh Tyagi,"drama, historical",2025
kesari chapter 2,Akshay KumarR. MadhavanAnanya Panday,Karan Singh Tyagi,"drama, historical",2025
logout,Babil KhanRasika DugalGandharv DewanNimisha Nair,Amit Golani,"drama, thriller",2025
ground zero,Emraan HashmiSai TamhankarZoya HussainMukesh TiwariLalit Prabhakar,Tejas Prabha Vijay Deoskar,"action, thriller",2025
jewel thief – the heist begins,Saif Ali KhanJaideep AhlawatNikita DuttaKunal Kapoor,Kookie GulatiRobbie Garewal,"action, thriller",2025
phule,Pratik GandhiPatralekha,Anant Mahadevan,biographical,2025
oye bhootni ke,Mahaakshay ChakrabortyNikita SharmaDiana KhanAshoka ThackurChahat Mughal,Ajay Kailash Yadav,Unknown,2025
raid 2,Ajay DevgnRiteish DeshmukhVaani Kapoor,Raj Kumar Gupta,"thriller, crime",2025
raid 2,Ajay DevgnRiteish DeshmukhVaani Kapoor,Raj Kumar Gupta,"thriller, crime",2025
the bhootnii,Sanjay DuttMouni RoySunny SinghPalak TiwariBeyounickAasif Khan,Sidhaant Sachdev,"comedy, horror",2025
costao,Nawazuddin SiddiquiPriya BapatKishore Kumar GGagan Dev Riar,Sejal Shah,"drama, biographical, crime",2025
the networker,Vikram KochharDurgesh KumarIshtiyak KhanRishabh PathakBrijendra KalaVindhya TiwariNikhat Khan,Vikas Kumar Vishwakarma,,2025
romeo s3,Thakur Anoop SinghPalak Tiwari,Guddu Dhanoa,Unknown,2025
bhool chuk maaf,Rajkummar RaoWamiqa Gabbi,Karan Sharma,"comedy, romantic, fantasy",2025
bhool chuk maaf,Rajkummar RaoWamiqa Gabbi,Karan Sharma,"comedy, romantic, fantasy",2025
kapkapiii,Tusshar KapoorShreyas TalpadeJay ThakkarSiddhi Idnani,Sangeeth Sivan,"comedy, horror",2025
pune highway,Jim SarbhAmit SadhManjari FadnisKetaki Narayan,Rahul da CunhaBugs Bhargava Krishna,thriller,2025
kesari veer,Suniel ShettyVivek OberoiSooraj PancholiAkansha Sharma,Prince Dhiman,"action, historical",2025
chidiya,Vinay PathakAmruta Subhash Svar KambleAyush Pathak,Mehran Amrohi,drama,2025
interrogation,Manu SinghRajpal Yadav Darshan JariwalaYashpal SharmGirish Kulkarni,Ajoy Varma Raja,thriller,2025
stolen,Abhishek BanerjeeHarish KhannaMia MaelzerSahidur RahamanShubham Vardhan,Karan Tejpal,thriller,2025
housefull 5,Akshay KumarRiteish DeshmukhSanjay DuttAbhishek BachchanNana PatekarFardeen KhanDino MoreaChunky PandeyJackie ShroffNikitin DheerShreyas TalpadeRanjeetJohnny LeverJacqueline FernandezNargis FakhriSonam BajwaChitrangda SinghSoundarya Sharma,Tarun Mansukhani,"comedy, thriller, war",2025
housefull 5,Akshay KumarRiteish DeshmukhSanjay DuttAbhishek BachchanNana PatekarFardeen KhanDino MoreaChunky PandeyJackie ShroffNikitin DheerShreyas TalpadeRanjeetJohnny LeverJacqueline FernandezNargis FakhriSonam BajwaChitrangda SinghSoundarya Sharma,Tarun Mansukhani,"comedy, thriller, war",2025
sitaare zameen par,Aamir KhanGenelia Deshmukh,R. S. Prasanna,"drama, comedy, sports",2025
kuberaa,DhanushRashmika MandannaNagarjunaJim SarbhDalip Tahil,Sekhar Kammula,thriller,2025
detective sherdil,Diljit DosanjhDiana PentyBoman IraniChunky PandayRatna Pathak ShahBanita SandhuSumeet Vyas,Ravi Chhabriya,Unknown,2025
maa,KajolRonit RoyIndraneil SenguptaKherin Sharma,Vishal Furia,horror,2025
gyanvapi files,Vijay RaazRajneesh Duggal,Bharat Shrinate,Unknown,2025
nikita roy,Sonakshi SinhaArjun RampalParesh RawalSuhail Nayyar,Kussh Sinha,Unknown,2025
,,,,2025
metro... in dino,Aditya Roy KapurSara Ali KhanAnupam KherNeena GuptaPankaj TripathiKonkona Sen SharmaAli FazalFatima Sana Shaikh,Anurag Basu,"drama, comedy",2025
maalik,Rajkummar RaoManushi ChhillarMedha ShankrPrasenjit Chatterjee,Pulkit,"action, thriller",2025
aankhon ki gustaakhiyan,Vikrant MasseyShanaya Kapoor,Santosh Singh,"drama, romantic",2025
saiyaara,Ahaan PandayAneet Padda,Mohit Suri,,2025
tanvi the great,Anupam KherShubhangi DuttIain GlenBoman IraniJackie ShroffArvind SwamiPallavi JoshiKaran TackerNassar,Anupam Kher,drama,2025
param sundari,Sidharth MalhotraJanhvi Kapoor,Tushar Jalota,"comedy, romantic",2025
